0.75,0.75,0.75,0.745,0.745,0.735,0.715,0.63,0.545,0.45,0.39,0.37,0.325,0.295
0.705,0.705,0.705,0.705,0.705,0.7,0.7,0.655,0.565,0.505,0.435,0.355,0.38,0.35
0.73,0.73,0.73,0.725,0.725,0.725,0.705,0.615,0.525,0.43,0.405,0.335,0.29,0.285
0.695,0.695,0.695,0.7,0.71,0.71,0.69,0.64,0.575,0.52,0.5,0.46,0.42,0.38
0.735,0.735,0.735,0.725,0.725,0.725,0.715,0.68,0.575,0.48,0.405,0.355,0.305,0.255
0.71,0.71,0.71,0.715,0.725,0.725,0.7,0.64,0.585,0.47,0.435,0.425,0.355,0.31
0.76,0.76,0.76,0.76,0.75,0.745,0.74,0.695,0.605,0.51,0.46,0.43,0.385,0.35
0.74,0.74,0.74,0.74,0.74,0.735,0.71,0.61,0.54,0.46,0.415,0.36,0.315,0.27
0.735,0.735,0.735,0.74,0.745,0.745,0.745,0.63,0.45,0.38,0.35,0.305,0.29,0.25
0.74,0.74,0.74,0.745,0.75,0.755,0.75,0.665,0.6,0.52,0.48,0.405,0.36,0.37
0.755,0.755,0.755,0.755,0.76,0.76,0.77,0.615,0.56,0.445,0.355,0.34,0.33,0.285
0.735,0.735,0.735,0.735,0.725,0.725,0.73,0.65,0.595,0.445,0.38,0.37,0.355,0.33
0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.595,0.59,0.545,0.48,0.44,0.395,0.365
0.705,0.705,0.705,0.71,0.715,0.715,0.705,0.66,0.585,0.525,0.44,0.395,0.33,0.295
0.73,0.73,0.735,0.73,0.73,0.735,0.74,0.63,0.55,0.465,0.405,0.375,0.355,0.35
0.75,0.75,0.75,0.745,0.745,0.75,0.75,0.66,0.57,0.49,0.465,0.445,0.43,0.39
0.75,0.75,0.75,0.745,0.745,0.75,0.75,0.685,0.55,0.515,0.435,0.37,0.345,0.33
0.77,0.77,0.77,0.77,0.77,0.775,0.78,0.71,0.57,0.535,0.44,0.4,0.355,0.34
0.7,0.7,0.7,0.695,0.69,0.695,0.685,0.61,0.545,0.48,0.46,0.36,0.32,0.315
0.705,0.705,0.705,0.705,0.7,0.705,0.71,0.63,0.58,0.53,0.5,0.42,0.385,0.335
0.72,0.72,0.72,0.635,0.6,0.57,0.46,0.41,0.37,0.345,0.31,0.29,0.295,0.285
